hitter_name,team,plate_appearances,games,composite_score,grade,tier,ops,woba,wrc_plus,xwoba,xba,xslg,hard_hit_pct,barrel_pct,k_bb_ratio,avg,hr,rbi,sb,strengths,weaknesses,score_breakdown,rank
Brice Turang,MIL,564,133,76.8,B+,Above Average,0.798,0.347,124,0.343,0.272,0.443,46.5,8.1,2.37,0.289,17,69,22,wOBA: 0.347; wRC+: 124; xwOBA: 0.343,None identified,"{'OPS': {'value': 0.798, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.347, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 124, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.343, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.443, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 46.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 8.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.37, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",59
Gavin Sheets,SDP,454,122,76.8,B+,Above Average,0.79,0.34,122,0.354,0.279,0.478,47.2,9.6,2.51,0.268,18,62,2,wOBA: 0.34; wRC+: 122; xwOBA: 0.354,None identified,"{'OPS': {'value': 0.79, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.34, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 122, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.354, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.279, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 47.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 9.6, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.51, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",60
Jeff McNeil,NYM,382,100,76.3,B+,Above Average,0.804,0.345,125,0.344,0.278,0.421,33.1,5.8,1.0,0.259,12,47,2,OPS: 0.804; wOBA: 0.345; wRC+: 125,HardHit%: 33.1,"{'OPS': {'value': 0.804, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.345, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 125, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.344, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.278, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.421, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 33.1, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 5.8, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 1.0, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",61
Wyatt Langford,TEX,505,117,76.0,B+,Above Average,0.787,0.341,119,0.348,0.247,0.453,47.1,13.1,2.24,0.249,21,58,18,wOBA: 0.341; wRC+: 119; xwOBA: 0.348,None identified,"{'OPS': {'value': 0.787, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.341, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 119, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.348, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.247, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.453, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 47.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.24, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",62
Eugenio Suarez,- - -,553,135,75.6,B+,Above Average,0.854,0.359,131,0.335,0.223,0.485,48.7,14.3,4.09,0.238,42,105,4,OPS: 0.854; wOBA: 0.359; wRC+: 131,xBA: 0.223; K:BB: 4.09,"{'OPS': {'value': 0.854, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.359, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 131, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.335, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.223, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.485, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 48.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 4.09, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",63
Francisco Lindor,NYM,622,136,75.6,B+,Above Average,0.794,0.342,123,0.34,0.262,0.449,43.8,8.4,2.5,0.267,26,76,27,wOBA: 0.342; wRC+: 123; xwOBA: 0.34,None identified,"{'OPS': {'value': 0.794, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.342, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 123, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.34, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.262, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.449, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 43.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 8.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.5, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",64
Willson Contreras,STL,534,128,75.1,B+,Above Average,0.778,0.338,119,0.368,0.265,0.511,48.8,14.400000000000002,3.38,0.251,20,74,4,wRC+: 119; xwOBA: 0.368; xBA: 0.265,K:BB: 3.38,"{'OPS': {'value': 0.778, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.338, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 119, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.368, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.265, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.511, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 48.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.400000000000002, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 3.38, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",65
Shea Langeliers,ATH,436,104,74.8,B,Average,0.845,0.355,125,0.337,0.261,0.478,44.7,11.8,2.91,0.261,29,65,5,OPS: 0.845; wOBA: 0.355; wRC+: 125,K:BB: 2.91,"{'OPS': {'value': 0.845, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.355, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 125, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.337, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.261, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 44.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 11.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.91, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",66
Taylor Ward,LAA,575,134,74.8,B,Average,0.794,0.34,117,0.346,0.245,0.471,42.7,13.8,2.23,0.228,30,94,3,wOBA: 0.34; wRC+: 117; xwOBA: 0.346,None identified,"{'OPS': {'value': 0.794, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.34, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 117, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.346, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.245, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.471, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 42.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 13.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.23, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",67
Carson Kelly,CHC,354,94,74.5,B,Average,0.793,0.346,124,0.345,0.256,0.442,39.2,9.2,1.4,0.259,14,46,1,wOBA: 0.346; wRC+: 124; xwOBA: 0.345,None identified,"{'OPS': {'value': 0.793, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.346, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 124, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.345, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.256, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.442, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 39.2, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 9.2, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.4, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",68
Mike Trout,LAA,466,108,74.4,B,Average,0.786,0.339,116,0.362,0.244,0.472,46.9,14.499999999999998,1.93,0.231,20,54,2,wRC+: 116; xwOBA: 0.362; xSLG: 0.472,None identified,"{'OPS': {'value': 0.786, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.339, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 116, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.362, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.244, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.472, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 46.9, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.499999999999998, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.93, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",69
Cody Bellinger,NYY,544,127,74.4,B,Average,0.837,0.355,129,0.334,0.264,0.451,39.1,7.9,1.7,0.279,26,83,11,OPS: 0.837; wOBA: 0.355; wRC+: 129,None identified,"{'OPS': {'value': 0.837, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.355, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 129, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.334, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.264, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.451, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 39.1, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 7.9, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 1.7, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",70
Julio Rodriguez,SEA,610,137,74.0,B,Average,0.776,0.334,120,0.354,0.281,0.493,46.9,9.7,3.95,0.264,26,78,24,wRC+: 120; xwOBA: 0.354; xBA: 0.281,K:BB: 3.95,"{'OPS': {'value': 0.776, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.334, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 120, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.354, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.281, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.493, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 46.9, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 9.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.95, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",71
Matt Wallner,MIN,338,90,74.0,B,Average,0.798,0.342,119,0.343,0.223,0.469,47.2,14.400000000000002,2.59,0.21,20,35,3,wOBA: 0.342; wRC+: 119; xwOBA: 0.343,xBA: 0.223,"{'OPS': {'value': 0.798, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.342, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 119, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.343, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.223, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.469, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 47.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.400000000000002, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.59, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",72
Hunter Goodman,COL,485,121,73.8,B,Average,0.834,0.355,115,0.325,0.247,0.462,48.3,12.7,4.62,0.273,26,76,1,OPS: 0.834; wOBA: 0.355; wRC+: 115,K:BB: 4.62,"{'OPS': {'value': 0.834, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.355, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 115, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.325, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.247, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.462, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 48.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 4.62, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",73
Jorge Polanco,SEA,434,116,73.8,B,Average,0.774,0.332,119,0.346,0.272,0.469,45.0,9.5,2.06,0.25,22,62,6,wRC+: 119; xwOBA: 0.346; xBA: 0.272,None identified,"{'OPS': {'value': 0.774, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.332, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 119, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.346, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.469, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 45.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 9.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.06, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",74
Mickey Moniak,COL,385,114,73.7,B,Average,0.801,0.338,103,0.344,0.274,0.501,46.0,12.8,5.02,0.262,18,55,6,OPS: 0.801; xwOBA: 0.344; xBA: 0.274,K:BB: 5.02,"{'OPS': {'value': 0.801, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.338, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 103, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.344, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.274, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.501, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 46.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 5.02, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",75
Jackson Chourio,MIL,486,109,73.4,B,Average,0.803,0.341,120,0.326,0.269,0.453,40.8,9.0,4.21,0.282,18,69,18,OPS: 0.803; wOBA: 0.341; wRC+: 120,K:BB: 4.21,"{'OPS': {'value': 0.803, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.341, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 120, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.326, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.269, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.453, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 40.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 9.0, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 4.21, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",76
Randy Arozarena,SEA,596,136,73.4,B,Average,0.793,0.345,127,0.349,0.247,0.457,51.5,11.8,2.96,0.244,26,66,25,wOBA: 0.345; wRC+: 127; xwOBA: 0.349,K:BB: 2.96,"{'OPS': {'value': 0.793, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.345, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 127, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.349, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.247, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.457, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 51.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 11.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.96, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",77
Matt Chapman,SFG,442,105,73.2,B,Average,0.765,0.336,118,0.355,0.251,0.449,48.1,10.4,1.83,0.229,18,50,9,wRC+: 118; xwOBA: 0.355; xSLG: 0.449,None identified,"{'OPS': {'value': 0.765, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.336, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 118, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.355, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.251, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.449, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 48.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 10.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.83, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",78
Jordan Westburg,BAL,304,73,72.8,B,Average,0.799,0.345,122,0.343,0.269,0.478,43.8,11.1,4.43,0.276,15,34,1,wOBA: 0.345; wRC+: 122; xwOBA: 0.343,K:BB: 4.43,"{'OPS': {'value': 0.799, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.345, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 122, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.343, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.269, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 43.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 11.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 4.43, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",79
Spencer Torkelson,DET,556,133,72.8,B,Average,0.795,0.34,118,0.346,0.236,0.478,44.1,13.3,2.27,0.235,28,70,2,wOBA: 0.34; wRC+: 118; xwOBA: 0.346,xBA: 0.236,"{'OPS': {'value': 0.795, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.34, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 118, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.346, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.236, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 44.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 13.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.27, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",80
Trea Turner,PHI,618,136,72.6,B,Average,0.806,0.349,123,0.324,0.276,0.415,41.5,5.8,2.47,0.301,14,66,36,OPS: 0.806; wOBA: 0.349; wRC+: 123,None identified,"{'OPS': {'value': 0.806, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.349, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 123, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.324, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.276, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.415, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 41.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 5.8, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.47, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",81
Brendan Donovan,STL,476,110,72.5,B,Average,0.75,0.328,112,0.355,0.291,0.457,40.7,8.2,1.57,0.279,9,45,3,xwOBA: 0.355; xBA: 0.291; xSLG: 0.457,None identified,"{'OPS': {'value': 0.75, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.328, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 112, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.355, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.291, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.457, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 40.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 8.2, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.57, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",82
